event_id,path,size_kb,tx_delay_ms,proc_delay_ms,total_delay_ms,cost_usd,energy_j,latency_need,peak_hour
0,edge,4.556,0.096,4.556,4.652,0.00022802,0.000112,low,False
1,edge,7.696,0.145,7.696,7.841,0.00038517,0.000189,low,False
2,rc,1.36,0.553,0.68,1.233,0.00013609,3.3e-05,high,True
3,cloud,4.173,10.652,0.695,11.347,0.0016693,0.000102,high,False
4,cloud,3.384,10.529,0.564,11.093,0.00135364,8.3e-05,high,False
5,cloud,4.577,10.715,0.763,11.478,0.001831,0.000112,high,False
6,cloud,4.929,10.77,0.821,11.592,0.00197181,0.000121,high,False
7,cloud,3.575,10.559,0.596,11.154,0.00143018,8.8e-05,medium,False
8,edge,5.534,0.111,5.534,5.646,0.00027698,0.000136,low,False
9,edge,3.018,0.072,3.018,3.09,0.00015104,7.4e-05,low,True
10,rc,6.134,0.74,3.067,3.807,0.00061373,0.00015,high,True
11,cloud,5.764,10.901,0.961,11.861,0.00230588,0.000141,high,False
12,rc,8.331,0.825,4.166,4.991,0.00083354,0.000204,medium,True
13,cloud,3.774,10.59,0.629,11.219,0.00150968,9.3e-05,high,False
14,rc,3.947,0.654,1.974,2.628,0.00039494,9.7e-05,medium,True
15,edge,6.003,0.119,6.003,6.122,0.00030045,0.000147,low,True
16,cloud,6.137,10.959,1.023,11.982,0.00245521,0.000151,medium,False
17,rc,3.847,0.65,1.924,2.574,0.00038493,9.4e-05,medium,True
18,edge,5.012,0.103,5.012,5.116,0.00025086,0.000123,low,True
19,cloud,4.851,10.758,0.809,11.567,0.00194084,0.000119,medium,False
20,rc,6.319,0.747,3.16,3.907,0.00063224,0.000155,high,True
21,edge,4.754,0.099,4.754,4.854,0.00023795,0.000117,low,False
22,edge,4.441,0.094,4.441,4.535,0.00022226,0.000109,low,True
23,cloud,6.293,10.983,1.049,12.032,0.00251747,0.000154,high,False
24,rc,6.796,0.765,3.398,4.163,0.0006799,0.000167,high,True
25,cloud,5.351,10.836,0.892,11.728,0.00214077,0.000131,medium,False
26,rc,3.694,0.644,1.847,2.491,0.00036958,9.1e-05,medium,True
27,edge,5.045,0.104,5.045,5.149,0.0002525,0.000124,low,True
28,cloud,4.785,10.748,0.797,11.545,0.00191421,0.000117,high,False
29,edge,6.532,0.127,6.532,6.66,0.00032694,0.00016,low,False
30,edge,6.986,0.134,6.986,7.121,0.00034966,0.000171,low,False
31,rc,5.28,0.706,2.64,3.346,0.00052828,0.00013,high,True
32,edge,5.576,0.112,5.576,5.688,0.00027906,0.000137,low,False
33,edge,3.708,0.083,3.708,3.791,0.00018556,9.1e-05,low,False
34,edge,5.213,0.106,5.213,5.319,0.00026089,0.000128,low,False
35,cloud,6.14,10.959,1.023,11.983,0.0024565,0.000151,medium,False
36,edge,3.956,0.087,3.956,4.043,0.00019799,9.7e-05,low,False
37,edge,1.89,0.055,1.89,1.945,9.46e-05,4.6e-05,low,False
38,cloud,4.729,10.739,0.788,11.527,0.00189198,0.000116,medium,False
39,cloud,5.251,10.82,0.875,11.696,0.00210078,0.000129,medium,False
40,edge,4.542,0.096,4.542,4.638,0.00022733,0.000111,low,True
41,edge,1.773,0.053,1.773,1.826,8.875e-05,4.3e-05,low,False
42,rc,6.611,0.758,3.306,4.064,0.00066145,0.000162,high,True
43,rc,7.847,0.807,3.923,4.73,0.00078505,0.000192,medium,True
44,cloud,3.461,10.541,0.577,11.118,0.00138467,8.5e-05,high,False
45,edge,4.653,0.098,4.653,4.751,0.00023288,0.000114,low,False
46,cloud,3.467,10.542,0.578,11.119,0.00138691,8.5e-05,medium,False
47,cloud,6.417,11.003,1.07,12.072,0.00256732,0.000157,high,False
48,rc,6.719,0.762,3.36,4.122,0.00067227,0.000165,medium,True
49,edge,3.997,0.087,3.997,4.085,0.00020007,9.8e-05,low,True
50,cloud,1.322,10.207,0.22,10.427,0.00052886,3.2e-05,high,False
51,cloud,5.671,10.886,0.945,11.831,0.00226876,0.000139,medium,False
52,edge,3.512,0.08,3.512,3.592,0.00017576,8.6e-05,low,True
53,cloud,4.818,10.753,0.803,11.556,0.00192755,0.000118,high,False
54,edge,2.53,0.065,2.53,2.595,0.00012664,6.2e-05,low,True
55,cloud,5.362,10.838,0.894,11.731,0.0021451,0.000132,medium,False
56,edge,5.664,0.113,5.664,5.777,0.00028346,0.000139,low,False
57,rc,6.342,0.748,3.171,3.919,0.00063448,0.000156,medium,True
58,cloud,5.548,10.867,0.925,11.792,0.00221948,0.000136,high,False
59,cloud,3.982,10.622,0.664,11.286,0.00159322,9.8e-05,medium,False
60,rc,6.697,0.762,3.349,4.11,0.00067006,0.000164,medium,True
61,edge,5.723,0.114,5.723,5.837,0.00028643,0.00014,low,False
62,edge,5.291,0.108,5.291,5.399,0.00026483,0.00013,low,False
63,cloud,4.094,10.64,0.682,11.322,0.00163767,0.0001,high,False
64,cloud,6.066,10.948,1.011,11.959,0.00242679,0.000149,medium,False
65,cloud,5.064,10.791,0.844,11.635,0.00202588,0.000124,high,False
66,cloud,3.825,10.598,0.638,11.235,0.00153032,9.4e-05,high,False
67,cloud,4.208,10.658,0.701,11.359,0.00168358,0.000103,high,False
68,edge,5.316,0.108,5.316,5.424,0.00026607,0.00013,low,True
69,edge,8.733,0.161,8.733,8.894,0.00043705,0.000214,low,True
70,rc,4.369,0.671,2.185,2.855,0.00043716,0.000107,medium,True
71,rc,5.127,0.7,2.564,3.264,0.000513,0.000126,medium,True
72,cloud,5.914,10.924,0.986,11.91,0.00236603,0.000145,medium,False
73,cloud,7.577,11.184,1.263,12.447,0.00303136,0.000186,high,False
74,rc,6.034,0.736,3.017,3.753,0.00060372,0.000148,high,True
75,cloud,6.88,11.075,1.147,12.222,0.00275256,0.000169,medium,False
76,rc,5.906,0.731,2.953,3.684,0.00059088,0.000145,medium,True
77,edge,4.384,0.093,4.384,4.477,0.0002194,0.000108,low,False
78,rc,5.234,0.704,2.617,3.321,0.00052361,0.000128,high,True
79,edge,5.668,0.114,5.668,5.781,0.00028366,0.000139,low,True
80,cloud,6.894,11.077,1.149,12.226,0.00275819,0.000169,high,False
81,cloud,5.3,10.828,0.883,11.712,0.00212043,0.00013,high,False
82,edge,4.045,0.088,4.045,4.133,0.00020243,9.9e-05,low,True
83,edge,6.926,0.133,6.926,7.059,0.00034664,0.00017,low,True
84,rc,4.455,0.674,2.227,2.901,0.00044568,0.000109,medium,True
85,cloud,3.375,10.527,0.562,11.09,0.00135019,8.3e-05,high,False
86,rc,2.327,0.591,1.163,1.754,0.00023279,5.7e-05,high,True
87,cloud,3.712,10.58,0.619,11.199,0.00148493,9.1e-05,medium,False
88,edge,2.534,0.065,2.534,2.598,0.00012681,6.2e-05,low,False
89,edge,6.566,0.128,6.566,6.694,0.00032863,0.000161,low,True
90,edge,4.0,0.088,4.0,4.088,0.0002002,9.8e-05,low,False
91,cloud,3.368,10.526,0.561,11.087,0.00134729,8.3e-05,medium,False
92,cloud,3.398,10.531,0.566,11.097,0.00135939,8.3e-05,high,False
93,edge,3.848,0.085,3.848,3.933,0.00019257,9.4e-05,low,False
94,edge,5.191,0.106,5.191,5.297,0.00025978,0.000127,low,False
95,rc,2.845,0.611,1.422,2.033,0.00028461,7e-05,medium,True
96,cloud,5.198,10.812,0.866,11.679,0.00207953,0.000128,medium,False
97,edge,5.566,0.112,5.566,5.678,0.00027859,0.000137,low,False
98,edge,4.606,0.097,4.606,4.703,0.00023053,0.000113,low,True
99,edge,5.88,0.117,5.88,5.997,0.00029428,0.000144,low,False
100,edge,6.843,0.132,6.843,6.975,0.0003425,0.000168,low,True
101,edge,4.811,0.1,4.811,4.912,0.00024081,0.000118,low,True
102,edge,3.891,0.086,3.891,3.977,0.00019475,9.5e-05,low,False
103,edge,4.74,0.099,4.74,4.839,0.00023722,0.000116,low,False
104,edge,4.688,0.098,4.688,4.786,0.00023462,0.000115,low,False
105,cloud,7.711,11.205,1.285,12.49,0.00308491,0.000189,high,False
106,edge,4.676,0.098,4.676,4.775,0.00023405,0.000115,low,True
107,edge,5.696,0.114,5.696,5.81,0.00028508,0.00014,low,False
108,rc,5.825,0.728,2.912,3.64,0.00058277,0.000143,medium,True
109,edge,6.105,0.12,6.105,6.225,0.00030553,0.00015,low,False
110,rc,4.292,0.668,2.146,2.813,0.00042938,0.000105,high,True
111,rc,4.275,0.667,2.137,2.804,0.0004277,0.000105,high,True
112,cloud,4.556,10.712,0.759,11.471,0.00182248,0.000112,medium,False
113,cloud,4.154,10.649,0.692,11.341,0.00166182,0.000102,medium,False
114,cloud,4.564,10.713,0.761,11.474,0.00182587,0.000112,high,False
115,cloud,4.046,10.632,0.674,11.307,0.00161865,9.9e-05,medium,False
116,edge,5.638,0.113,5.638,5.751,0.00028215,0.000138,low,False
117,cloud,6.389,10.998,1.065,12.063,0.0025558,0.000157,medium,False
118,edge,1.846,0.054,1.846,1.9,9.237e-05,4.5e-05,low,False
119,rc,7.956,0.811,3.978,4.789,0.00079604,0.000195,medium,True
120,cloud,5.614,10.877,0.936,11.813,0.00224606,0.000138,high,False
121,cloud,4.578,10.715,0.763,11.478,0.00183139,0.000112,high,False
122,edge,7.196,0.137,7.196,7.333,0.00036013,0.000177,low,False
123,rc,4.74,0.685,2.37,3.055,0.00047423,0.000116,medium,True
124,cloud,3.983,10.622,0.664,11.286,0.0015933,9.8e-05,high,False
125,rc,1.963,0.577,0.982,1.558,0.00019642,4.8e-05,high,True
126,edge,6.565,0.128,6.565,6.693,0.00032859,0.000161,low,False
127,rc,6.922,0.77,3.461,4.231,0.00069255,0.00017,high,True
128,rc,6.664,0.76,3.332,4.093,0.00066677,0.000163,medium,True
129,edge,5.844,0.116,5.844,5.96,0.00029247,0.000143,low,True
130,cloud,6.216,10.971,1.036,12.007,0.00248667,0.000152,medium,False
131,cloud,4.811,10.752,0.802,11.554,0.0019247,0.000118,medium,False
132,cloud,3.771,10.589,0.629,11.218,0.00150868,9.3e-05,medium,False
133,rc,3.719,0.645,1.859,2.505,0.00037205,9.1e-05,medium,True
134,rc,6.563,0.756,3.281,4.038,0.0006566,0.000161,medium,True
135,rc,5.074,0.698,2.537,3.235,0.00050762,0.000124,medium,True
136,rc,7.826,0.806,3.913,4.719,0.00078296,0.000192,high,True
137,cloud,3.614,10.565,0.602,11.167,0.00144563,8.9e-05,high,False
138,rc,4.599,0.68,2.299,2.979,0.00046012,0.000113,high,True
139,cloud,4.936,10.771,0.823,11.594,0.00197486,0.000121,medium,False
140,cloud,3.251,10.508,0.542,11.05,0.00130045,8e-05,high,False
141,rc,2.918,0.614,1.459,2.073,0.0002919,7.2e-05,medium,True
142,rc,5.789,0.726,2.894,3.62,0.00057916,0.000142,high,True
143,rc,2.844,0.611,1.422,2.033,0.00028458,7e-05,high,True
144,edge,3.785,0.084,3.785,3.869,0.00018942,9.3e-05,low,True
145,rc,2.464,0.596,1.232,1.829,0.00024657,6e-05,high,True
146,cloud,5.665,10.885,0.944,11.829,0.00226653,0.000139,high,False
147,edge,4.555,0.096,4.555,4.651,0.00022795,0.000112,low,True
148,edge,6.091,0.12,6.091,6.211,0.00030484,0.000149,low,False
149,cloud,4.782,10.747,0.797,11.544,0.00191327,0.000117,medium,False
150,rc,4.178,0.663,2.089,2.752,0.00041797,0.000102,high,True
151,rc,3.807,0.649,1.904,2.552,0.00038094,9.3e-05,high,True
152,rc,2.931,0.614,1.465,2.08,0.0002932,7.2e-05,medium,True
153,cloud,6.771,11.058,1.129,12.187,0.00270899,0.000166,medium,False
154,rc,4.765,0.686,2.382,3.068,0.0004767,0.000117,medium,True
155,rc,4.775,0.687,2.387,3.074,0.0004777,0.000117,medium,True
156,edge,5.607,0.113,5.607,5.719,0.00028061,0.000138,low,False
157,cloud,5.702,10.891,0.95,11.841,0.0022811,0.00014,high,False
158,rc,5.652,0.721,2.826,3.547,0.00056543,0.000139,high,True
159,edge,5.797,0.116,5.797,5.912,0.00029013,0.000142,low,False
160,cloud,3.678,10.575,0.613,11.188,0.00147131,9e-05,medium,False
161,cloud,1.374,10.215,0.229,10.444,0.00054972,3.4e-05,high,False
162,rc,5.685,0.722,2.843,3.565,0.00056879,0.000139,medium,True
163,cloud,7.689,11.201,1.281,12.483,0.00307589,0.000189,high,False
164,edge,6.458,0.126,6.458,6.584,0.0003232,0.000158,low,True
165,edge,8.571,0.159,8.571,8.73,0.00042898,0.00021,low,False
166,rc,4.753,0.686,2.376,3.062,0.0004755,0.000117,high,True
167,cloud,5.309,10.83,0.885,11.714,0.0021239,0.00013,medium,False
168,rc,6.11,0.739,3.055,3.794,0.00061133,0.00015,high,True
169,edge,6.013,0.119,6.013,6.132,0.00030096,0.000148,low,False
170,edge,6.002,0.119,6.002,6.121,0.0003004,0.000147,low,True
171,cloud,5.472,10.855,0.912,11.767,0.00218896,0.000134,medium,False
172,cloud,7.681,11.2,1.28,12.48,0.00307285,0.000188,medium,False
173,edge,3.488,0.079,3.488,3.567,0.00017456,8.6e-05,low,True
174,cloud,6.118,10.956,1.02,11.975,0.00244739,0.00015,medium,False
175,edge,3.575,0.081,3.575,3.655,0.00017891,8.8e-05,low,True
176,edge,3.316,0.077,3.316,3.393,0.00016596,8.1e-05,low,False
177,edge,7.191,0.137,7.191,7.328,0.00035988,0.000176,low,False
178,rc,5.082,0.699,2.541,3.24,0.00050845,0.000125,high,True
179,rc,6.207,0.742,3.103,3.846,0.00062096,0.000152,high,True
180,edge,4.625,0.097,4.625,4.723,0.0002315,0.000113,low,True
181,cloud,4.953,10.774,0.825,11.599,0.00198146,0.000122,medium,False
182,rc,2.188,0.585,1.094,1.679,0.00021891,5.4e-05,medium,True
183,edge,6.18,0.122,6.18,6.301,0.00030929,0.000152,low,False
184,cloud,5.339,10.834,0.89,11.724,0.00213601,0.000131,high,False
185,rc,5.703,0.723,2.852,3.574,0.00057061,0.00014,high,True
186,edge,5.261,0.107,5.261,5.368,0.0002633,0.000129,low,False
187,edge,4.146,0.09,4.146,4.236,0.00020752,0.000102,low,False
188,rc,2.437,0.595,1.218,1.813,0.00024378,6e-05,high,True
189,cloud,2.086,10.326,0.348,10.674,0.00083459,5.1e-05,high,False
190,cloud,5.837,10.912,0.973,11.885,0.00233508,0.000143,high,False
191,rc,7.285,0.785,3.643,4.427,0.00072887,0.000179,high,True
192,rc,4.005,0.656,2.003,2.659,0.00040071,9.8e-05,high,True
193,rc,6.035,0.736,3.018,3.753,0.00060383,0.000148,medium,True
194,cloud,6.258,10.978,1.043,12.021,0.00250362,0.000154,high,False
195,rc,6.017,0.735,3.008,3.744,0.000602,0.000148,high,True
196,cloud,6.972,11.089,1.162,12.251,0.00278921,0.000171,high,False
197,cloud,3.706,10.579,0.618,11.197,0.00148255,9.1e-05,high,False
198,edge,4.979,0.103,4.979,5.082,0.00024919,0.000122,low,True
199,edge,5.379,0.109,5.379,5.488,0.00026919,0.000132,low,False
200,rc,6.209,0.743,3.105,3.847,0.00062123,0.000152,high,True
201,cloud,5.189,10.811,0.865,11.676,0.00207579,0.000127,medium,False
202,cloud,6.732,11.052,1.122,12.174,0.00269323,0.000165,medium,False
203,cloud,2.264,10.354,0.377,10.731,0.00090559,5.6e-05,medium,False
204,cloud,4.731,10.739,0.789,11.528,0.00189279,0.000116,high,False
205,edge,1.386,0.047,1.386,1.433,6.937e-05,3.4e-05,low,False
206,rc,3.536,0.638,1.768,2.406,0.00035382,8.7e-05,high,True
207,cloud,4.088,10.639,0.681,11.32,0.00163561,0.0001,high,False
208,cloud,4.956,10.774,0.826,11.601,0.00198287,0.000122,high,False
209,cloud,5.562,10.869,0.927,11.796,0.00222519,0.000136,high,False
210,cloud,3.14,10.491,0.523,11.014,0.00125601,7.7e-05,high,False
211,edge,4.606,0.097,4.606,4.703,0.00023054,0.000113,low,False
212,cloud,6.006,10.938,1.001,11.94,0.00240289,0.000147,high,False
213,cloud,4.606,10.72,0.768,11.487,0.0018427,0.000113,medium,False
214,cloud,4.677,10.731,0.779,11.51,0.00187107,0.000115,medium,False
215,edge,2.892,0.07,2.892,2.962,0.00014473,7.1e-05,low,True
216,cloud,4.461,10.697,0.743,11.44,0.00178456,0.000109,medium,False
217,edge,3.236,0.076,3.236,3.312,0.00016196,7.9e-05,low,True
218,rc,4.85,0.689,2.425,3.115,0.00048527,0.000119,high,True
219,edge,3.815,0.085,3.815,3.899,0.00019091,9.4e-05,low,False
220,edge,5.83,0.116,5.83,5.947,0.00029181,0.000143,low,False
221,rc,2.851,0.611,1.425,2.037,0.0002852,7e-05,high,True
222,edge,7.116,0.136,7.116,7.253,0.00035616,0.000175,low,False
223,edge,3.808,0.084,3.808,3.892,0.00019056,9.3e-05,low,False
224,cloud,6.337,10.99,1.056,12.046,0.00253517,0.000155,high,False
225,edge,4.065,0.089,4.065,4.154,0.00020346,0.0001,low,False
226,edge,4.854,0.101,4.854,4.955,0.00024296,0.000119,low,False
227,rc,5.591,0.718,2.796,3.514,0.00055939,0.000137,high,True
228,cloud,4.472,10.699,0.745,11.444,0.00178914,0.00011,high,False
229,edge,8.08,0.151,8.08,8.231,0.00040437,0.000198,low,True
230,rc,7.262,0.784,3.631,4.415,0.00072658,0.000178,medium,True
231,cloud,3.972,10.621,0.662,11.283,0.00158908,9.7e-05,high,False
232,cloud,4.941,10.772,0.824,11.596,0.0019768,0.000121,high,False
233,cloud,6.412,11.002,1.069,12.071,0.00256513,0.000157,medium,False
234,cloud,5.148,10.804,0.858,11.662,0.00205943,0.000126,high,False
235,rc,5.668,0.721,2.834,3.556,0.0005671,0.000139,medium,True
236,cloud,4.073,10.636,0.679,11.315,0.00162948,0.0001,high,False
237,edge,5.055,0.104,5.055,5.159,0.00025299,0.000124,low,True
238,cloud,4.863,10.76,0.811,11.57,0.0019455,0.000119,high,False
239,cloud,4.875,10.762,0.812,11.574,0.00195016,0.00012,medium,False
240,cloud,7.366,11.151,1.228,12.378,0.00294665,0.000181,medium,False
241,cloud,3.706,10.579,0.618,11.197,0.00148269,9.1e-05,medium,False
242,edge,2.523,0.064,2.523,2.587,0.00012625,6.2e-05,low,False
243,cloud,4.622,10.722,0.77,11.492,0.00184887,0.000113,high,False
244,edge,3.443,0.079,3.443,3.522,0.00017232,8.4e-05,low,False
245,edge,6.313,0.124,6.313,6.437,0.00031596,0.000155,low,False
246,edge,3.92,0.086,3.92,4.006,0.0001962,9.6e-05,low,False
247,edge,6.904,0.133,6.904,7.037,0.00034554,0.000169,low,False
248,edge,4.244,0.091,4.244,4.336,0.00021243,0.000104,low,False
249,rc,4.561,0.678,2.281,2.959,0.00045636,0.000112,medium,True
250,cloud,3.537,10.553,0.59,11.142,0.00141517,8.7e-05,high,False
251,edge,6.5,0.127,6.5,6.627,0.00032532,0.000159,low,False
252,edge,3.685,0.083,3.685,3.767,0.00018442,9e-05,low,False
253,cloud,4.611,10.721,0.769,11.489,0.00184481,0.000113,high,False
254,rc,4.067,0.659,2.034,2.693,0.00040695,0.0001,high,True
255,edge,3.436,0.079,3.436,3.515,0.00017198,8.4e-05,low,False
256,edge,5.373,0.109,5.373,5.482,0.00026892,0.000132,low,True
257,cloud,3.418,10.534,0.57,11.104,0.00136722,8.4e-05,high,False
258,edge,6.546,0.127,6.546,6.673,0.00032762,0.000161,low,True
259,edge,2.461,0.063,2.461,2.524,0.00012317,6e-05,low,True
260,cloud,4.257,10.665,0.71,11.375,0.00170322,0.000104,high,False
261,cloud,3.256,10.509,0.543,11.051,0.00130264,8e-05,medium,False
262,rc,5.713,0.723,2.856,3.58,0.00057155,0.00014,high,True
263,cloud,3.772,10.589,0.629,11.218,0.00150914,9.3e-05,high,False
264,edge,7.818,0.147,7.818,7.965,0.00039129,0.000192,low,False
265,cloud,3.752,10.586,0.625,11.212,0.00150108,9.2e-05,medium,False
266,edge,7.554,0.143,7.554,7.697,0.00037805,0.000185,low,False
267,edge,4.635,0.097,4.635,4.732,0.00023197,0.000114,low,False
268,rc,5.306,0.707,2.653,3.36,0.00053083,0.00013,high,True
269,cloud,4.613,10.721,0.769,11.489,0.00184532,0.000113,medium,False
270,edge,5.26,0.107,5.26,5.367,0.00026325,0.000129,low,False
271,cloud,4.219,10.659,0.703,11.362,0.00168782,0.000103,high,False
272,edge,5.382,0.109,5.382,5.491,0.00026935,0.000132,low,False
273,rc,5.778,0.726,2.889,3.614,0.00057805,0.000142,high,True
274,rc,3.552,0.639,1.776,2.415,0.00035535,8.7e-05,medium,True
275,rc,6.296,0.746,3.148,3.894,0.0006299,0.000154,high,True
276,rc,4.257,0.666,2.129,2.795,0.00042595,0.000104,medium,True
277,cloud,5.607,10.876,0.935,11.811,0.00224324,0.000138,high,False
278,cloud,8.315,11.299,1.386,12.685,0.00332663,0.000204,high,False
279,rc,7.761,0.803,3.881,4.684,0.00077651,0.00019,medium,True
280,rc,2.169,0.585,1.084,1.669,0.000217,5.3e-05,high,True
281,cloud,4.174,10.652,0.696,11.348,0.00166965,0.000102,high,False
282,rc,4.826,0.689,2.413,3.101,0.00048282,0.000118,high,True
283,edge,5.423,0.11,5.423,5.532,0.0002714,0.000133,low,False
284,rc,6.604,0.758,3.302,4.06,0.00066077,0.000162,high,True
285,rc,4.958,0.694,2.479,3.172,0.000496,0.000122,medium,True
286,rc,7.054,0.776,3.527,4.303,0.00070574,0.000173,medium,True
287,cloud,4.449,10.695,0.741,11.437,0.00177976,0.000109,medium,False
288,cloud,5.735,10.896,0.956,11.852,0.00229427,0.000141,high,False
289,edge,3.693,0.083,3.693,3.776,0.00018483,9.1e-05,low,False
290,edge,4.816,0.1,4.816,4.916,0.00024102,0.000118,low,True
291,cloud,6.543,11.022,1.09,12.113,0.0026174,0.00016,medium,False
292,cloud,4.707,10.735,0.784,11.52,0.00188298,0.000115,high,False
293,edge,2.038,0.057,2.038,2.095,0.00010202,5e-05,low,True
294,edge,5.208,0.106,5.208,5.314,0.00026065,0.000128,low,False
295,rc,4.393,0.672,2.196,2.868,0.00043952,0.000108,medium,True
296,rc,7.037,0.775,3.519,4.293,0.00070406,0.000173,high,True
297,cloud,5.133,10.802,0.856,11.658,0.00205366,0.000126,high,False
298,cloud,6.203,10.969,1.034,12.003,0.00248139,0.000152,medium,False
299,edge,7.675,0.145,7.675,7.82,0.00038413,0.000188,low,True
300,edge,5.721,0.114,5.721,5.835,0.00028631,0.00014,low,True
301,edge,2.965,0.071,2.965,3.036,0.00014837,7.3e-05,low,False
302,rc,4.506,0.676,2.253,2.929,0.00045081,0.000111,high,True
303,cloud,5.978,10.934,0.996,11.93,0.00239146,0.000147,medium,False
304,cloud,2.266,10.354,0.378,10.732,0.00090635,5.6e-05,medium,False
305,cloud,7.631,11.192,1.272,12.464,0.00305284,0.000187,medium,False
306,edge,6.379,0.125,6.379,6.504,0.00031927,0.000156,low,False
307,cloud,5.088,10.795,0.848,11.643,0.00203537,0.000125,medium,False
308,rc,5.123,0.7,2.561,3.262,0.00051253,0.000126,high,True
309,rc,6.937,0.771,3.468,4.239,0.00069403,0.00017,high,True
310,cloud,5.97,10.933,0.995,11.928,0.00238839,0.000146,medium,False
311,rc,3.631,0.642,1.815,2.457,0.00036326,8.9e-05,medium,True
312,cloud,3.033,10.474,0.505,10.979,0.00121321,7.4e-05,medium,False
313,rc,4.138,0.662,2.069,2.731,0.00041405,0.000102,medium,True
314,rc,5.775,0.726,2.887,3.613,0.00057777,0.000142,medium,True
315,rc,6.167,0.741,3.083,3.824,0.000617,0.000151,medium,True
316,cloud,8.074,11.262,1.346,12.607,0.00322993,0.000198,high,False
317,edge,4.469,0.095,4.469,4.564,0.00022368,0.00011,low,False
318,cloud,3.646,10.57,0.608,11.177,0.00145865,8.9e-05,medium,False
319,cloud,4.731,10.739,0.788,11.528,0.00189249,0.000116,medium,False
320,edge,5.125,0.105,5.125,5.23,0.00025651,0.000126,low,False
321,cloud,5.232,10.817,0.872,11.689,0.00209308,0.000128,high,False
322,rc,6.307,0.746,3.153,3.9,0.00063101,0.000155,high,True
323,cloud,3.312,10.517,0.552,11.069,0.00132497,8.1e-05,medium,False
324,rc,5.571,0.718,2.785,3.503,0.00055735,0.000137,medium,True
325,edge,3.386,0.078,3.386,3.464,0.00016948,8.3e-05,low,False
326,cloud,4.795,10.749,0.799,11.548,0.0019181,0.000118,high,False
327,rc,5.074,0.698,2.537,3.235,0.00050763,0.000124,medium,True
328,edge,6.286,0.123,6.286,6.409,0.00031462,0.000154,low,False
329,edge,7.869,0.148,7.869,8.017,0.00039385,0.000193,low,False
330,rc,3.027,0.618,1.514,2.132,0.00030285,7.4e-05,medium,True
331,edge,6.187,0.122,6.187,6.308,0.00030964,0.000152,low,False
332,rc,5.86,0.729,2.93,3.659,0.00058632,0.000144,medium,True
333,rc,5.958,0.733,2.979,3.712,0.00059608,0.000146,high,True
334,rc,6.105,0.738,3.053,3.791,0.00061085,0.00015,high,True
335,cloud,4.861,10.76,0.81,11.57,0.00194487,0.000119,medium,False
336,edge,7.7,0.145,7.7,7.845,0.00038538,0.000189,low,False
337,edge,6.956,0.134,6.956,7.089,0.00034812,0.000171,low,True
338,rc,3.534,0.638,1.767,2.405,0.00035356,8.7e-05,high,True
339,edge,4.219,0.091,4.219,4.31,0.00021117,0.000104,low,True
340,edge,4.73,0.099,4.73,4.829,0.00023674,0.000116,low,False
341,rc,7.227,0.782,3.613,4.396,0.00072301,0.000177,medium,True
342,edge,3.875,0.086,3.875,3.961,0.00019396,9.5e-05,low,True
343,rc,4.122,0.661,2.061,2.722,0.00041242,0.000101,medium,True
344,rc,4.719,0.684,2.36,3.044,0.00047218,0.000116,medium,True
345,cloud,6.029,10.942,1.005,11.947,0.00241214,0.000148,medium,False
346,cloud,6.62,11.034,1.103,12.138,0.00264833,0.000162,high,False
347,edge,7.873,0.148,7.873,8.021,0.00039404,0.000193,low,False
348,cloud,5.168,10.808,0.861,11.669,0.00206758,0.000127,high,False
349,cloud,4.679,10.731,0.78,11.511,0.00187185,0.000115,high,False
350,edge,4.307,0.092,4.307,4.399,0.00021554,0.000106,low,False
351,edge,3.412,0.078,3.412,3.49,0.00017075,8.4e-05,low,True
352,rc,5.026,0.696,2.513,3.209,0.00050284,0.000123,high,True
353,edge,4.364,0.093,4.364,4.457,0.00021839,0.000107,low,True
354,edge,3.608,0.081,3.608,3.69,0.00018059,8.9e-05,low,False
355,cloud,1.904,10.298,0.317,10.615,0.00076188,4.7e-05,medium,False
356,cloud,4.662,10.728,0.777,11.505,0.0018651,0.000114,medium,False
357,cloud,3.827,10.598,0.638,11.236,0.0015309,9.4e-05,high,False
358,cloud,7.193,11.124,1.199,12.323,0.00287758,0.000176,high,False
359,rc,3.528,0.638,1.764,2.402,0.00035302,8.7e-05,medium,True
360,edge,6.415,0.125,6.415,6.54,0.00032107,0.000157,low,False
361,rc,4.525,0.677,2.262,2.939,0.0004527,0.000111,medium,True
362,rc,5.012,0.696,2.506,3.202,0.00050142,0.000123,medium,True
363,cloud,5.555,10.868,0.926,11.794,0.00222217,0.000136,high,False
364,edge,5.837,0.116,5.837,5.953,0.00029213,0.000143,low,True
365,rc,4.192,0.664,2.096,2.76,0.00041943,0.000103,medium,True
366,edge,6.72,0.13,6.72,6.85,0.00033635,0.000165,low,True
367,edge,8.036,0.151,8.036,8.186,0.00040217,0.000197,low,True
368,cloud,3.193,10.499,0.532,11.031,0.00127719,7.8e-05,high,False
369,rc,4.941,0.693,2.471,3.164,0.00049436,0.000121,high,True
370,cloud,2.812,10.439,0.469,10.908,0.00112484,6.9e-05,medium,False
371,rc,5.532,0.716,2.766,3.482,0.00055343,0.000136,high,True
372,rc,4.5,0.676,2.25,2.926,0.00045018,0.00011,high,True
373,edge,5.183,0.106,5.183,5.289,0.00025942,0.000127,low,False
374,cloud,6.224,10.973,1.037,12.01,0.00249009,0.000153,high,False
